Product Name,URL,Price(Rs.),Rating(Out of 5 stars),Number of Reviews
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODY0MTM2MTUxMTMzNjc0OjE2NzUzODA5MjA6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380920%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,599,3.7,33
"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Black)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODY0MTM2MTUxMTMzNjc0OjE2NzUzODA5MjA6c3BfbXRmOjIwMTE0NjA4MDA4Mzk4OjowOjo&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQ3ND145%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380920%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,699,,
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-29,239,4.0,1983
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-30,899,3.9,8758
F Gear Luxur Brown 25 liter Laptop Backpack (2404),https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-31,"1,099",4.4,16291
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-32,849,3.9,2126
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-33,798,4.1,912
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-34,999,4.0,5790
Half Moon Strike 35L Unisex Spacious School/ Laptop/ College/ Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-35,699,3.6,44
"LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675380920&sprefix=ba%2Caps%2C283&sr=8-36,308,4.3,516
